"IntelDate","Site","County","UtilityImpact","ServicesImpact","ConsumablesImpact","2MCheckins","2MParticipate","HFCheckins","HFParticipate","Comments",
2020.03.28,"Zorak","Wayne","M","M","S",1,1,0,0,"",
2020.03.28,"Kurt","Kent","A","M","M",0,0,0,0,"",
2020.03.28,"RobIsCool","Houghton","A","A","A",0,0,0,0,"",
2020.03.28,"Vern","Lenawee","A","A","M",0,0,0,0,"",
2020.03.28,"Gary","Montcalm","A","A","U",0,0,0,0,"",
2020.03.28,"Sean","Montcalm","A","A","A",0,0,0,0,"",
2020.03.28,"Larry","Oscoda","A","M","M",0,0,0,0,"",
2020.03.28,"Jeff","Wayne","S","S","S",0,0,0,0,"",
2020.03.28,"Rob","Cheboygan","A","A","M",0,0,0,0,"",
2020.03.28,"Brad","Mason","A","A","M",0,0,0,0,"",
2020.03.28,"Joe","Kent","A","A","M",0,0,0,0,"",
2020.03.28,"James","Allegan","A","A","U",0,0,0,0,"",
2020.03.28,"Tesla","Massachussetts","","","",0,0,0,0,"",
2020.03.28,"Sammy","Kalamazoo","A","A","A",1,0,0,0,"",
2020.03.28,"Dennis","Monroe","S","S","S",0,0,0,0,"",
2020.03.28,"Will","Ogemaw","A","A","M",0,0,0,0,"",
2020.03.28,"Chaz","Gratiot","A","A","M",0,0,0,0,"",
