"IntelDate","Site","County","UtilityImpact","ServicesImpact","ConsumablesImpact","2M Checkins","2M Participate","HF Checkins","HF Participate",
2020.04.12,"Jeff","Montcalm","A","M","M",0,0,0,0,
2020.04.12,"Mike","Lansing","A","A","A",0,0,0,0,
2020.04.12,"Andy","Oakland","","","",0,0,0,0,
2020.04.12,"Dan","Kent","","","",0,0,0,0,
2020.04.12,"Ian","Macomb","A","S","A",0,0,0,0,
2020.04.12,"Richard","Saginaw","A","A","A",0,0,0,0,
2020.04.12,"Adam","Cheboygan","A","A","A",0,0,0,0,
2020.04.12,"Sammy","Kalamazoo","A","A","A",0,0,0,0,
2020.04.12,"Patrick","Marquette","A","A","M",0,0,0,0,
2020.04.12,"Brad","Mason","A","A","A",0,0,0,0,
2020.04.12,"JV","Chippewa","A","A","A",0,0,0,0,
2020.04.12,"Dan","Saginaw","","","",0,0,0,0,
2020.04.12,"Tim","St Joeseph","A","A","U",0,0,0,0,
