"IntelStartDate","IntelEndDate","ObserveDays","ObserveCount","UtilityWeight","ServicesWeight","ConsumablesWeight","2MCheckins","2MParticipate","HFCheckins","HFParticipate","UtilitiesScore","ServicesScore","ConsumablesScore","OverallScore","MaxScore","UtilitiesCode","ServicesCode","ConsumablesCode","OverallCode","MaxCode","County",
2020.04.12,2020.04.19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,U,U,U,U,U,"DEFAULT",
2020.04.12,2020.04.19,0,2,2,3,4,0,0,0,0,1.0,1.5,2.0,2,2,A,M,M,M,M,"Montcalm",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Lansing",
2020.04.12,2020.04.19,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,U,U,U,U,U,"Oakland",
2020.04.12,2020.04.19,0,3,2,3,3,0,0,0,0,0.67,1.0,1.0,1,2,A,A,A,A,M,"Kent",
2020.04.12,2020.04.19,0,3,2,3,6,7,0,0,0,0.67,1.0,2.0,1,3,A,A,M,A,S,"Macomb",
2020.04.12,2020.04.19,0,3,2,3,3,0,0,0,0,0.67,1.0,1.0,1,2,A,A,A,A,M,"Saginaw",
2020.04.12,2020.04.19,0,2,2,2,2,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Cheboygan",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Kalamazoo",
2020.04.12,2020.04.19,0,1,1,1,2,0,0,0,0,1.0,1.0,2.0,1,2,A,A,M,A,M,"Marquette",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Mason",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Chippewa",
2020.04.12,2020.04.19,0,1,1,1,0,0,0,0,0,1.0,1.0,0.0,1,1,A,A,U,A,A,"St Joeseph",
2020.04.12,2020.04.19,0,2,2,2,4,0,0,0,0,1.0,1.0,2.0,1,2,A,A,M,A,M,"Wayne",
2020.04.12,2020.04.19,0,1,1,1,2,0,0,0,0,1.0,1.0,2.0,1,2,A,A,M,A,M,"Monroe",
2020.04.12,2020.04.19,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,U,U,U,U,U,"Allegan",
2020.04.12,2020.04.19,0,1,1,3,2,0,0,0,0,1.0,3.0,2.0,2,3,A,S,M,M,S,"Berrien",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Ogemaw",
2020.04.12,2020.04.19,0,1,1,1,1,0,0,0,0,1.0,1.0,1.0,1,1,A,A,A,A,A,"Newaygo",
